308 

Interval 	 Length 		 Estimate 		 Deviation 		 Percent off 	 Correct Tasks 		 Incorrect Tasks 		 Percent 	 You earn 	 number 

2m31s 		 151.00000 		 151.45365 		 0.45365 		 0.00 				 10 					 2 					 0.83 			 $25 		 1 

1m56s 		 116.00000 		 116.37769 		 0.37769 		 0.00 				 11 					 0 					 1.00 			 $25 		 2

0m31s 		 31.00000 		 41.49696 		 10.49696 		 0.34 				 4 					 0 					 1.00 			 $0 		 3 

0m53s 		 53.00000 		 69.31022 		 16.31022 		 0.31 				 5 					 0 					 1.00 			 $0 		 4 

3m16s 		 196.00000 		 229.41854 		 33.41854 		 0.17 				 18 					 0 					 1.00 			 $5 		 5 

1m29s 		 89.00000 		 108.82518 		 19.82518 		 0.22 				 9 					 0 					 1.00 			 $0 		 6 

0m41s 		 41.00000 		 52.39588 		 11.39588 		 0.28 				 4 					 0 					 1.00 			 $0 		 7 

1m09s 		 69.00000 		 86.97520 		 17.97520 		 0.26 				 7 					 0 					 1.00 			 $0 		 8 

0m24s 		 24.00000 		 31.72121 		 7.72121 		 0.32 				 3 					 0 					 1.00 			 $0 		 9 

3m39s 		 219.00000 		 217.30218 		 1.69782 		 0.01 				 19 					 0 					 1.00 			 $25 		 10 

